Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.5845991,1.16403,1.3802359,1.2499658,1.405136,1.1338664
1.5757929,1.1601837,1.3784139,1.2444999,1.3985567,1.1292104
1.5780199,1.1710142,1.3949128,1.248245,1.389042,1.1238457
1.565671,1.1639287,1.394103,1.2519902,1.3925848,1.1390287
1.5818661,1.177391,1.390358,1.2465243,1.3965323,1.1289066
1.5825747,1.1660544,1.3838798,1.2501682,1.3937994,1.1140273
1.5894576,1.1656495,1.3837786,1.2528,1.3991641,1.1438872
1.5865222,1.1583617,1.3923823,1.2548243,1.3953177,1.1288054
1.5983651,1.1686862,1.3819567,1.2544194,1.382564,1.1392311
1.5820686,1.1625117,1.3810457,1.2504718,1.3962287,1.1275908
1.5979601,1.1496568,1.3850945,1.2380219,1.3978482,1.1161529
1.5993773,1.1512762,1.3960263,1.2503706,1.3810457,1.1298176
1.5925955,1.1573495,1.3875238,1.2555329,1.4082738,1.1277932
1.5711368,1.1480372,1.3877262,1.2530024,1.4045287,1.1278944
1.5722502,1.1541104,1.3763895,1.2487512,1.4146507,1.1173676
1.5702258,1.1702044,1.4031117,1.2580634,1.3914714,1.1462153
1.5824735,1.1726336,1.3989617,1.2536097,1.3997713,1.1182785
1.5735661,1.1679776,1.4033141,1.2545207,1.383475,1.1356884
1.56891,1.1611959,1.4068568,1.2562414,1.4070592,1.134575
1.5879394,1.1481384,1.3960263,1.253306,1.3872201,1.114331
1.583182,1.1564385,1.3892446,1.2508768,1.3891432,1.1319432
1.5945187,1.1670666,1.4019982,1.2503706,1.3892446,1.1428751
1.5851052,1.1626129,1.4012897,1.2526988,1.377503,1.1331578
1.5768051,1.1545153,1.3936982,1.245917,1.3831713,1.1280969
1.5885466,1.15573,1.3868152,1.254217,1.3920786,1.1277932
1.5910772,1.1555275,1.3965323,1.2469292,1.3778067,1.1342713
1.5735661,1.1634227,1.4007835,1.24865,1.4003787,1.1395347
1.5941138,1.1688886,1.3824627,1.2490548,1.3755798,1.1394335
1.5971503,1.1641312,1.4097922,1.245006,1.3997713,1.1188859
1.6017053,1.1638275,1.3956214,1.2655537,1.3812481,1.130425
1.5981625,1.170508,1.394103,1.2504718,1.3847908,1.1415591
1.5778173,1.175974,1.3909652,1.2442975,1.386714,1.1302226
1.5869272,1.1729374,1.4067556,1.2562414,1.372948,1.135486
1.5715417,1.1508714,1.4010873,1.2452084,1.388131,1.1254652
1.5883442,1.1513776,1.3994677,1.2366047,1.4026055,1.1258701
1.591887,1.1563373,1.3997713,1.2609987,1.3914714,1.138725
1.5773113,1.1566409,1.403719,1.2579621,1.3743652,1.133664
1.579943,1.1564385,1.3943055,1.2455121,1.3933945,1.1216189
1.5991747,1.1310322,1.4040226,1.2416657,1.3921798,1.125364
1.5764003,1.1702044,1.4040226,1.2438926,1.3856006,1.1263762
1.5835869,1.1579568,1.4102982,1.2480426,1.389447,1.1461141
1.5922918,1.1433811,1.4149544,1.2446011,1.4066544,1.1302226
1.5795381,1.1625117,1.3924836,1.2587719,1.3919774,1.1337652
1.5780199,1.1575519,1.3912688,1.2493584,1.4142458,1.1457092
1.5733637,1.165852,1.4031117,1.2475365,1.4038202,1.1452031
1.5751857,1.1651434,1.4047312,1.2485487,1.4063507,1.131842
1.5667844,1.1623093,1.4136385,1.2457145,1.4038202,1.1398385
1.5883442,1.1647385,1.4000751,1.2464231,1.405541,1.1349798
1.5794369,1.1635239,1.3944067,1.2510792,1.3955201,1.1310322
1.5777161,1.1546166,1.4014921,1.2541158,1.4056422,1.1272871
1.5807527,1.1585641,1.3976457,1.250978,1.3809445,1.1268823
1.5847003,1.1576531,1.385297,1.2446011,1.3996701,1.1375104
1.586421,1.1634227,1.4082738,1.2510792,1.3912688,1.1367006
1.5881418,1.1687874,1.3911676,1.2429816,1.3792237,1.1236433
1.5765015,1.1586653,1.3955201,1.2526988,1.3901554,1.1195945
1.5766027,1.164941,1.4005811,1.249156,1.3856006,1.1293116
1.5890528,1.1516812,1.3948116,1.2478402,1.3851957,1.1375104
1.5894576,1.1695971,1.3996701,1.2534072,1.426291,1.1340688
1.5818661,1.1636251,1.3915726,1.2476377,1.3969373,1.1249591
1.5828784,1.1653459,1.3923823,1.252395,1.4014921,1.1404457
1.5800442,1.1601837,1.392281,1.244095,1.3887384,1.1260725
1.5819674,1.1549202,1.4006823,1.2513828,1.3912688,1.1480372
1.5895588,1.1734434,1.3893458,1.2479414,1.3998725,1.1332592
1.5791333,1.1784033,1.3989617,1.2562414,1.395925,1.1348786
1.5969479,1.1509726,1.385803,1.2598853,1.4041238,1.1334616
1.5876358,1.1686862,1.3956214,1.2567475,1.4033141,1.1377128
1.5849028,1.1528958,1.3992653,1.2487512,1.3997713,1.1603861
1.5747807,1.1669654,1.4061482,1.259278,1.3810457,1.1198981
1.5928991,1.1728362,1.4007835,1.2554317,1.406958,1.1351823
1.5875344,1.1424701,1.4024031,1.249156,1.3974433,1.1266798
