Sampling rate 20 Hz,,,,,,,,,
,Mouse 1,Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 2,Mouse 3,Mouse 3,Mouse 3
,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1
,"10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF","10s ON, 50 s OFF"
Time,465nm,405nm,Stim,465nm,405nm,Stim,465nm,405nm,Stim
0,1.7917964,1.6358165,FALSE,1.8382565,1.3436955,FALSE,1.7390609,1.5258915,FALSE
1,1.7706414,1.6194187,FALSE,1.8351187,1.3611053,FALSE,1.7293437,1.5229561,FALSE
2,1.7631512,1.6340957,FALSE,1.8167977,1.3660651,FALSE,1.7313681,1.5331793,FALSE
3,1.7943269,1.639764,FALSE,1.8239844,1.3582711,FALSE,1.7382511,1.529333,FALSE
4,1.7746903,1.6468494,FALSE,1.8186197,1.3607005,FALSE,1.740073,1.5226525,FALSE
5,1.7740829,1.6469506,FALSE,1.8241868,1.3654578,FALSE,1.7319754,1.5314586,FALSE
6,1.7862294,1.63197,FALSE,1.831171,1.3584737,FALSE,1.7203351,1.5313574,FALSE
7,1.7776257,1.6339945,FALSE,1.8146721,1.3502748,FALSE,1.7158815,1.5266,FALSE
8,1.7820793,1.6422945,FALSE,1.8156843,1.3338772,FALSE,1.7269144,1.5422891,FALSE
9,1.7576853,1.631464,FALSE,1.8190246,1.3622187,FALSE,1.7119339,1.5344952,FALSE
10,1.7871404,1.6331847,FALSE,1.8120404,1.3435943,FALSE,1.7066704,1.5263976,FALSE
11,1.7655804,1.6268078,FALSE,1.808599,1.3586761,FALSE,1.7296474,1.5450221,FALSE
12,1.7634548,1.662741,FALSE,1.8197331,1.3452138,FALSE,1.7381499,1.529839,FALSE
13,1.772261,1.6367275,FALSE,1.8157855,1.3524004,FALSE,1.7282302,1.5283208,FALSE
14,1.7636573,1.6185077,FALSE,1.8281344,1.3629273,FALSE,1.734101,1.5356086,FALSE
15,1.7629488,1.6349055,FALSE,1.8034368,1.3751749,FALSE,1.7264084,1.5308512,FALSE
16,1.7838,1.6472542,FALSE,1.8104209,1.3336747,FALSE,1.7233717,1.528422,FALSE
17,1.7765123,1.6369299,FALSE,1.8357259,1.364648,FALSE,1.7219546,1.5299402,FALSE
18,1.7880512,1.6477604,FALSE,1.8162917,1.3665712,FALSE,1.7374413,1.5158707,FALSE
19,1.765378,1.6533275,FALSE,1.8263124,1.3569553,FALSE,1.7473608,1.5506904,FALSE
20,1.7756013,1.6516068,FALSE,1.8223649,1.333371,FALSE,1.7435145,1.5393537,FALSE
21,1.7647707,1.6365249,FALSE,1.8358271,1.3426833,FALSE,1.725295,1.5378355,FALSE
22,1.7696292,1.6433067,FALSE,1.8192271,1.3603967,FALSE,1.728534,1.5354062,FALSE
23,1.7829903,1.6302493,FALSE,1.8133563,1.3575627,FALSE,1.7410852,1.5288268,FALSE
24,1.7700342,1.6504933,FALSE,1.8107246,1.3562468,FALSE,1.7214485,1.5382403,FALSE
25,1.7797513,1.6318688,FALSE,1.829754,1.364142,FALSE,1.7333925,1.5464392,FALSE
26,1.7706414,1.6363225,FALSE,1.8200368,1.3607005,FALSE,1.7328864,1.5520062,FALSE
27,1.7778281,1.632881,FALSE,1.8202393,1.3651541,FALSE,1.743717,1.5209317,FALSE
28,1.7927074,1.660008,FALSE,1.8211502,1.3650529,FALSE,1.7190193,1.5238671,FALSE
29,1.7667952,1.6446226,FALSE,1.8386613,1.351287,FALSE,1.7336961,1.531661,FALSE
30,1.7719573,1.643003,FALSE,1.8301588,1.3495662,FALSE,1.7377449,1.5364184,FALSE
31,1.7836988,1.6334884,FALSE,1.8315759,1.344404,FALSE,1.732684,1.5236647,FALSE
32,1.7675036,1.6340957,FALSE,1.8384589,1.3513882,FALSE,1.7332913,1.5258915,FALSE
33,1.7812696,1.6371323,FALSE,1.8358271,1.3649517,FALSE,1.7413889,1.5142512,FALSE
34,1.7730707,1.6486714,FALSE,1.8370417,1.3586761,FALSE,1.7360243,1.542694,FALSE
35,1.7817757,1.6362213,FALSE,1.8220612,1.3567529,FALSE,1.7274206,1.5178951,FALSE
36,1.7810671,1.6454324,FALSE,1.8369405,1.3616115,FALSE,1.7452352,1.5508928,FALSE
37,1.7637585,1.6306542,FALSE,1.8126478,1.3611053,FALSE,1.7458426,1.5347989,FALSE
38,1.7811683,1.6230627,FALSE,1.8106234,1.363231,FALSE,1.7335949,1.5358111,FALSE
39,1.7514096,1.6580849,FALSE,1.8403821,1.3519956,FALSE,1.7269144,1.5263976,FALSE
40,1.7753989,1.6452299,FALSE,1.8369405,1.3621175,FALSE,1.7416925,1.5416818,FALSE
41,1.7558633,1.6445214,FALSE,1.8238832,1.3573602,FALSE,1.7379473,1.5328757,FALSE
42,1.7759049,1.630148,FALSE,1.8080928,1.3676846,FALSE,1.7288376,1.5432001,FALSE
43,1.7712488,1.6349055,FALSE,1.812749,1.3650529,FALSE,1.719829,1.5186037,FALSE
44,1.7730707,1.6351079,FALSE,1.8212515,1.3630285,FALSE,1.7346071,1.5272074,FALSE
45,1.7716537,1.6394603,FALSE,1.8257052,1.368292,FALSE,1.7251937,1.549577,FALSE
46,1.7744879,1.6378409,FALSE,1.8050562,1.3495662,FALSE,1.730862,1.5213366,FALSE
47,1.7582927,1.6364237,FALSE,1.8174051,1.3611053,FALSE,1.7187155,1.5379367,FALSE
48,1.7799537,1.6379421,FALSE,1.8241868,1.3449101,FALSE,1.7253962,1.5432001,FALSE
49,1.7822818,1.6224554,FALSE,1.829754,1.3534126,FALSE,1.7215497,1.5292318,FALSE
50,1.7817757,1.6411811,FALSE,1.8197331,1.3769969,FALSE,1.7361255,1.5336854,FALSE
51,1.7904806,1.6336908,FALSE,1.8354223,1.3725432,FALSE,1.7250924,1.5360135,FALSE
52,1.7809659,1.6361201,FALSE,1.827021,1.3619151,FALSE,1.7363279,1.5107085,FALSE
53,1.7566731,1.6249859,FALSE,1.8043478,1.3514894,FALSE,1.7294449,1.5301428,FALSE
54,1.7785367,1.6450274,FALSE,1.82611,1.3486552,FALSE,1.7269144,1.5401635,FALSE
55,1.7844074,1.6377397,FALSE,1.8144697,1.3396467,FALSE,1.7291412,1.5429977,FALSE
56,1.7731719,1.6266054,FALSE,1.8138624,1.3571577,FALSE,1.7254974,1.5398599,FALSE
57,1.768617,1.6432055,FALSE,1.8264136,1.3590809,FALSE,1.7476646,1.527916,FALSE
58,1.7729695,1.6467482,FALSE,1.825604,1.3642431,FALSE,1.705557,1.54816,FALSE
59,1.7730707,1.6409787,FALSE,1.8360295,1.3390393,FALSE,1.7378461,1.5323696,FALSE
60,1.7745891,1.6357152,FALSE,1.8334991,1.3600931,FALSE,1.72904,1.533483,FALSE
61,1.7718561,1.6333871,FALSE,1.8218588,1.34987,FALSE,1.7448304,1.5345964,FALSE
62,1.7664914,1.6437116,FALSE,1.851415,1.3524004,FALSE,1.7193229,1.545427,FALSE
63,1.7627463,1.652214,FALSE,1.8470626,1.3657615,FALSE,1.7327852,1.5351025,FALSE
64,1.7773219,1.6300468,FALSE,1.8222637,1.3452138,FALSE,1.7316718,1.5399611,FALSE
65,1.7701354,1.6304518,FALSE,1.8306649,1.3635346,FALSE,1.7450328,1.5250818,FALSE
66,1.7746903,1.6491774,FALSE,1.8249966,1.352704,FALSE,1.7328864,1.5377343,FALSE
67,1.7687182,1.6277188,FALSE,1.8255028,1.369203,FALSE,1.7201327,1.5399611,FALSE
68,1.7672,1.6482664,FALSE,1.8397747,1.3325613,FALSE,1.7122375,1.528928,FALSE
69,1.769528,1.6477604,FALSE,1.8301588,1.3526028,FALSE,1.7466524,1.5397587,FALSE
70,1.7726659,1.6331847,FALSE,1.8314747,1.3504772,FALSE,1.723979,1.5341915,FALSE
71,1.7773219,1.6538336,FALSE,1.8257052,1.3528053,FALSE,1.7268132,1.5365196,FALSE
72,1.7742854,1.6232651,FALSE,1.824693,1.3437967,FALSE,1.7089984,1.5604075,FALSE
73,1.7676048,1.6458372,FALSE,1.8181137,1.3486552,FALSE,1.7344047,1.5221463,FALSE
74,1.7620378,1.6485702,FALSE,1.8224661,1.3574615,FALSE,1.7391621,1.5432001,FALSE
75,1.7833952,1.6159773,FALSE,1.8378515,1.3624212,FALSE,1.7349108,1.5292318,FALSE
76,1.7876464,1.6286298,FALSE,1.8267174,1.3660651,FALSE,1.7277242,1.5451233,FALSE
77,1.7777269,1.6369299,FALSE,1.828843,1.3560443,FALSE,1.7296474,1.529839,FALSE
78,1.7729695,1.6168883,FALSE,1.8332967,1.3359016,FALSE,1.7403767,1.5434026,FALSE
79,1.76305,1.6506958,FALSE,1.8248954,1.3625224,FALSE,1.7335949,1.528928,FALSE
80,1.7774231,1.6470518,FALSE,1.8352199,1.3508822,FALSE,1.7291412,1.5435038,FALSE
81,1.7778281,1.6185077,FALSE,1.8102185,1.3468333,FALSE,1.7167925,1.5367221,FALSE
82,1.7636573,1.6182041,FALSE,1.8117368,1.3776042,FALSE,1.7289388,1.5425928,FALSE
83,1.7793463,1.6318688,FALSE,1.8152795,1.3619151,FALSE,1.727623,1.5387465,FALSE
84,1.7768159,1.6372335,FALSE,1.8177087,1.367381,FALSE,1.721651,1.5516014,FALSE
85,1.7753989,1.6192163,FALSE,1.8307661,1.365559,FALSE,1.725295,1.5433013,FALSE
86,1.7693256,1.6248846,FALSE,1.8268186,1.3577651,FALSE,1.7250924,1.5292318,FALSE
87,1.7666938,1.6308566,FALSE,1.8180125,1.3653566,FALSE,1.7354169,1.5376331,FALSE
88,1.7804598,1.630553,FALSE,1.825604,1.3525016,FALSE,1.7168937,1.5180975,FALSE
89,1.7481706,1.6499872,FALSE,1.8310698,1.3515906,FALSE,1.7327852,1.5359123,FALSE
90,1.783294,1.6432055,FALSE,1.8419003,1.3445053,FALSE,1.7274206,1.5489696,FALSE
91,1.7838,1.6421933,FALSE,1.8203405,1.3582711,FALSE,1.7396681,1.5341915,FALSE
92,1.7743866,1.6159773,FALSE,1.8301588,1.3535138,FALSE,1.7376437,1.5501842,FALSE
93,1.7730707,1.6435091,FALSE,1.826515,1.3565505,FALSE,1.750195,1.5415806,FALSE
94,1.7771195,1.6373347,FALSE,1.807283,1.3344845,FALSE,1.7362267,1.5416818,FALSE
95,1.7899745,1.6260993,FALSE,1.8126478,1.3394443,FALSE,1.7260034,1.538544,FALSE
96,1.7716537,1.6385493,FALSE,1.8217576,1.3526028,FALSE,1.7458426,1.5148585,FALSE
97,1.7730707,1.6416872,FALSE,1.8146721,1.3450114,FALSE,1.7360243,1.532572,FALSE
98,1.7683134,1.6351079,FALSE,1.8355235,1.3472382,FALSE,1.7240802,1.5369245,FALSE
99,1.7647707,1.6304518,FALSE,1.8185185,1.3448089,FALSE,1.731773,1.5390501,FALSE
100,1.7676048,1.6512018,FALSE,1.8140649,1.3518944,FALSE,1.7440206,1.5276122,FALSE
101,1.787444,1.6341969,FALSE,1.8138624,1.3504772,FALSE,1.7263072,1.5276122,FALSE
102,1.7816744,1.6318688,FALSE,1.8114331,1.3602955,FALSE,1.7297486,1.5403659,FALSE
